Frequency (MHz),Ground Data (Watts),Sky Data (Watts),Source Data (Watts),Original Receiver Temperature (Tr) (K),Corrected Receiver Temperature (Tr) (K),Source Temperature (Ts) (K),Brightness Temperature (K)
1420.2421875,6.30957344480193e-07,1.4554590805819668e-07,1.5922087270511716e-07,83.45288688221434,83.45288688221434,8.310711837729457,2.525778216162653
1420.24609375,6.29506182857198e-07,1.4554590805819668e-07,1.5922087270511716e-07,83.71811409521214,83.71811409521214,8.3356316228992,2.550698001332396
1420.25,6.382634861905488e-07,1.4927944095789974e-07,1.6330519478943344e-07,85.05904285001418,85.05904285001418,8.46162041613006,2.676686794563256
1420.25390625,6.29506182857198e-07,1.4621771744567184e-07,1.60324539069004e-07,84.25151277869595,84.25151277869595,8.610824955938924,2.8258913343721197
1420.2578125,6.338697112569269e-07,1.4825180851459545e-07,1.6255487557504835e-07,85.05904285001421,85.17976949645754,8.59896750986637,2.8140338882995657
1420.26171875,6.382634861905488e-07,1.4962356560944328e-07,1.6405897731995388e-07,85.33022067107078,85.18936458182588,8.819547247028424,3.0346136254616205
1420.265625,6.397348354826482e-07,1.510080154164148e-07,1.6595869074375615e-07,86.14982587164992,85.19895966719469,9.728559480632754,3.94362585906595
1420.26953125,6.441692655151775e-07,1.5275660582380732e-07,1.671090614310707e-07,86.70133863935239,85.20855475256349,9.721453532507994,3.9365199109411897
1420.2734375,6.471426157485831e-07,1.5523870099580817e-07,1.6865530253887424e-07,88.09829708669761,85.21814983793229,10.175615034481169,4.390681412914365
1420.27734375,6.441692655151775e-07,1.5703628043335533e-07,1.7100153150902864e-07,90.09867766408519,85.22774492330109,12.03502650676775,6.250092885200946
1420.28125,6.441692655151775e-07,1.5776112696993466e-07,1.713957307508427e-07,90.68000361861111,85.23734000866989,12.263724444460422,6.478790822893618
1420.28515625,6.471426157485831e-07,1.606941253012879e-07,1.7418068733916128e-07,92.45074328484539,85.24693509403869,13.44361829713911,7.658684675572307
1420.2890625,6.516283940608428e-07,1.6292960326397213e-07,1.7538805018417602e-07,93.35144646971276,85.25653017940749,13.436605762391977,7.651672140825173
1420.29296875,6.531305526474723e-07,1.651961798229015e-07,1.7741894808901663e-07,94.87587626928075,85.26612526477584,14.389077897495596,8.604144275928792
1420.296875,6.516283940608428e-07,1.6557699634695275e-07,1.7782794100389227e-07,95.49392749839055,85.27572035014464,14.865167758946185,9.080234137379382
1420.30078125,6.576578373554205e-07,1.6865530253887424e-07,1.8030177408595698e-07,96.7444915037778,85.28531543551344,15.343511526595677,9.558577905028873
1420.3046875,6.576578373554205e-07,1.7100153150902864e-07,1.8238957023196385e-07,98.65724473132798,85.29491052088224,16.559701635877246,10.774768014310443
1420.30859375,6.606934480075957e-07,1.7218685749860061e-07,1.8450154191794718e-07,98.98042513441149,85.30450560625104,17.293466806922268,11.508533185355464
1420.3125,6.561452663029056e-07,1.7378008287493743e-07,1.8535316234148105e-07,101.27865818131129,85.31410069161984,18.532508018021204,12.7475743964544
1420.31640625,6.606934480075957e-07,1.7660378206861638e-07,1.8836490894898002e-07,102.62079708763898,85.32369577698864,19.532793779242752,13.747860157675948
1420.3203125,6.668067692136219e-07,1.782378767448089e-07,1.9275249131909368e-07,102.62079708763895,85.33329086235699,21.054228327793055,15.269294706226251
1420.32421875,6.637430704019089e-07,1.7864875748520516e-07,1.9498445997580455e-07,103.64151991653002,85.34288594772579,22.857353531293057,17.072419909726253
1420.328125,6.652731562017413e-07,1.7864875748520516e-07,1.976969640111862e-07,103.29992001456267,85.35248103309459,24.161406780107427,18.376473158540623
1420.33203125,6.683439175686149e-07,1.7947336268325267e-07,2.0183663636815597e-07,103.29992001456255,85.36207611846339,26.01541035670111,20.230476735134307
